index,fips,state,county_name,health_outcomes_r,health_factors_r,length_life_r,quality_life_r,yppl,%poor_fair_health,%adult_obesity,food_environment_index,graduation_cohort,graduation_rate,%some_college,life_expectancy,%diabetes,%food_insecure,%limited_access,household_income,%lunch_aid,%african_american,%american_indian,%asian,%pacific_islander,%hispanic,%white,year
46,36023,New York,Cortland,47,28,49,39,7265.1313498,16.051981267,34.2,8.3,519.0,87.861271676,60.105465005,77.926580187,10.9,11.8,3.4167829903,52038,51.352680767,1.6469258779,0.3243627841,1.1153894446,0.0272046206,2.7225547231,92.614991839,2019
47,36097,New York,Schuyler,48,40,53,37,7395.5171288,16.883351047,32.6,8.4,126.0,89.682539683,53.710691824,78.075886684,11.9,11.2,3.0344098047,48782,51.676901275,0.9055555556,0.3666666667,0.5944444444,0.0222222222,1.8388888889,95.044444444,2019
48,36065,New York,Oneida,49,37,44,49,7064.409238,15.682207774,32.6,8.1,2685.0,83.724394786,60.155158468,78.457315697,12.8,12.2,4.1940937456,53234,53.462429564,6.0618505006,0.3415005274,4.4165960611,0.0704615012,5.7549323051,81.731883181,2019
49,36075,New York,Oswego,50,59,52,43,7285.6572788,16.136063616,32.8,8.1,1586.0,84.047919294,58.119067535,78.048959455,11.6,12.7,3.5251625617,52732,54.03749286,0.9233781799,0.484478131,0.7056162325,0.0312294266,2.6300241395,93.97525279,2019
50,36117,New York,Wayne,51,39,45,51,7112.3017766,16.275917308,36.4,8.6,1164.0,87.199312715,63.77858602,78.699067808,11.4,9.8,3.4889268891,52709,48.160467011,2.794750193,0.3970442263,0.7499724275,0.0419102239,4.4777765523,89.893018639,2019
51,36073,New York,Orleans,52,54,50,45,7275.9951144,17.76824211,36.1,8.1,468.0,89.316239316,54.050845781,77.783591126,14.5,11.7,5.556703653,48799,52.076677316,6.0220091257,0.758851231,0.5782885587,0.0512407584,4.81419125,86.37971842,2019
52,36093,New York,Schenectady,53,25,46,54,7133.8290449,14.324553213,28.6,8.3,1764.0,77.83446712,66.64853524,78.772732146,9.6,10.8,5.7252231037,61841,38.568274992,10.513290265,0.6871725645,4.9889113875,0.2031305242,6.9520779096,73.854016006,2019
53,36057,New York,Montgomery,54,60,56,48,7571.0158466,16.177574528,33.8,7.8,609.0,76.026272578,58.649390767,77.694166829,11.0,12.0,7.8890155135,46601,58.465608466,2.030127086,0.5867067278,0.874984774,0.1542896585,14.15607617,81.292378903,2019
54,36015,New York,Chemung,55,47,59,46,7642.3797244,16.093877134,34.6,7.9,904.0,75.774336283,60.554699538,77.200768803,11.3,12.8,5.7984371079,50562,50.401623404,6.0532744252,0.3436305621,1.6094533469,0.0374019659,3.1195577218,86.236076534,2019
55,36029,New York,Erie,56,32,51,58,7282.0497174,15.902092252,30.3,7.9,9873.0,84.037273372,72.581340933,78.268398666,10.7,12.7,5.574711041,55581,42.876942328,13.121591135,0.732122637,3.8293817151,0.0471082452,5.4717955589,75.338617524,2019
56,36007,New York,Broome,57,33,57,53,7609.1676804,17.200236753,28.3,8.1,2205.0,82.947845805,66.510187061,78.542777191,10.6,13.0,3.2406715699,47910,52.820043473,5.278378839,0.2654423954,4.6684810395,0.0661023864,4.2543082747,83.130980846,2019
57,36063,New York,Niagara,58,52,61,59,7710.3100769,15.846324114,33.3,8.2,2431.0,84.821061292,67.137243782,77.627083553,12.2,12.0,4.237824535,54317,48.095221376,7.0104292853,1.1361485463,1.1356753483,0.0411682314,2.9461311326,85.537647638,2019
58,36013,New York,Chautauqua,59,55,62,56,8008.5531116,18.089410044,33.1,7.9,1521.0,83.497698882,58.008628128,77.461471004,11.7,12.4,6.7504729865,45840,53.865532987,2.1449715605,0.7276475055,0.700525394,0.0503696356,7.5662941897,87.382793732,2019
59,36009,New York,Cattaraugus,60,61,54,61,7397.1552038,18.529141035,36.5,8.2,1041.0,85.014409222,55.056311591,77.761956154,12.8,12.5,2.5839365013,47875,52.949157954,1.4505869576,3.471324404,0.8403578632,0.031028598,2.0892589337,90.498784713,2019
60,36105,New York,Sullivan,61,50,60,60,7685.3940515,19.036735163,32.4,8.3,742.0,78.436657682,54.399771885,78.136145343,11.3,11.0,4.6694307833,52504,57.680945347,8.1671855335,0.7034510168,1.6917268331,0.0794859906,16.195270584,71.826190634,2019
61,36005,New York,Bronx,62,62,35,62,6650.6532368,26.8376738,29.9,7.8,14750.0,67.511864407,50.688124468,80.359789932,13.1,16.1,0.000919861,37377,82.061762238,29.34935697,2.9229995378,4.5208542919,0.4133472906,56.158133718,9.2287718535,2019
0,36001,New York,Albany,25,10,15,44,5821.0724177,14.208671407,27.3,8.0,3014.0,84.406104844,76.783304608,80.033193096,9.1,12.0,4.779734781,64536,35.501123376,12.793821247,0.2966296232,6.7837338864,0.0674010231,6.100932218,71.807487049,2020
1,36003,New York,Allegany,47,52,49,34,7283.1368139,14.416292355,35.9,8.1,502.0,87.848605578,61.366776491,77.99982845,10.9,12.4,2.9916992658,46262,51.937743191,1.277191471,0.3166056429,1.2944217101,0.0409218178,1.6777945294,94.294637088,2020
2,36005,New York,Bronx,62,62,36,62,6695.7687245,26.79894691,29.0,7.7,14750.0,67.511864407,51.16929104,80.559175377,12.5,16.0,0.000919861,38566,86.602546857,29.222585628,2.9135582474,4.5000740155,0.4147662366,56.365474691,9.130722587,2020
3,36007,New York,Broome,52,37,51,49,7415.0655257,15.929984942,28.0,8.0,2205.0,82.947845805,67.255529616,78.673505459,10.6,12.8,3.2406715699,50928,54.397057133,5.4696100888,0.2681846404,4.4271336071,0.0667852801,4.3415649669,82.996885093,2020
4,36009,New York,Cattaraugus,57,59,47,60,7254.9515966,16.370699866,37.6,8.1,1041.0,85.014409222,56.038589805,77.848798956,13.3,12.5,2.5839365013,48017,50.843238034,1.3781884435,3.547631442,0.871941697,0.03774076,2.1238938053,90.393024466,2020
5,36011,New York,Cayuga,20,35,26,13,6465.7445631,14.158372297,34.1,8.6,762.0,83.070866142,59.012703007,79.440231197,12.4,10.6,1.6861754579,52945,46.415919983,3.9652602243,0.4666537041,0.6468338842,0.0687017953,3.0436191587,90.030462117,2020
6,36013,New York,Chautauqua,61,54,60,61,7995.6636114,18.017901402,33.4,7.8,1521.0,83.497698882,57.884099383,77.34508697,12.1,12.3,6.7504729865,45689,52.614552397,2.138519138,0.7128397127,0.6807931905,0.052368707,7.8201330321,87.1212062,2020
7,36015,New York,Chemung,53,47,59,29,7969.1384684,14.74862208,36.0,7.8,904.0,75.774336283,59.817152808,77.171017363,11.9,12.5,5.7984371079,52565,49.588235294,6.025826667,0.3489448572,1.4954779595,0.0356066181,3.1844185439,86.182258409,2020
8,36017,New York,Chenango,50,39,56,25,7863.0070561,14.735076655,38.8,8.5,584.0,85.273972603,56.870410985,77.299542939,13.3,11.0,1.6152908549,50312,55.511914114,0.8919555705,0.4165264221,0.6500336587,0.0168293504,2.2340962639,94.570430831,2020
9,36019,New York,Clinton,29,34,22,38,6220.7055513,14.767265821,35.3,7.6,866.0,87.066974596,54.424869405,79.447253971,11.5,12.0,9.9285943145,55517,44.294003868,4.0448602763,0.4077080364,1.4585785984,0.0421339612,2.9766404362,89.807299089,2020
10,36021,New York,Columbia,24,15,38,7,6838.8716659,13.717136686,24.0,8.5,583.0,82.847341338,62.474052433,79.642273987,7.9,9.4,5.0543034127,64916,49.914432402,4.676547166,0.3287936444,1.962747847,0.055077108,4.8551305161,86.347553241,2020
11,36023,New York,Cortland,39,30,43,31,7018.3043692,13.406372374,35.2,8.1,519.0,87.861271676,62.000966651,78.185980446,11.8,12.1,3.4167829903,51751,50.812873258,1.6728352466,0.357568534,1.1270727474,0.035547749,2.7392677164,92.470150346,2020
12,36025,New York,Delaware,33,41,39,32,6851.2372132,15.393145055,29.9,8.5,460.0,87.391304348,54.384959303,79.287105258,9.1,11.6,0.7892579852,47382,50.806049526,1.7203045343,0.3728075101,1.0398185371,0.0516540526,3.9908370202,91.917263683,2020
13,36027,New York,Dutchess,17,12,13,28,5753.3255218,14.696919039,26.9,8.6,3404.0,85.693301998,68.249981532,80.571111352,9.2,8.6,5.6022082617,79604,33.794466403,10.451521527,0.465752865,3.7920726683,0.0803491785,12.484764298,71.17915824,2020
14,36029,New York,Erie,56,43,46,59,7178.0603331,15.947174471,30.1,7.8,9873.0,84.037273372,72.850309131,78.382904195,11.1,12.7,5.574711041,56375,47.009708278,13.092585888,0.7491418575,3.7255944479,0.0475145126,5.6983709155,75.210036979,2020
15,36031,New York,Essex,9,13,9,14,5261.6893708,11.420024915,28.8,8.7,292.0,91.095890411,58.356039964,80.821938143,10.6,9.5,2.0934384206,54376,45.624242424,2.3243967828,0.5254691689,0.7855227882,0.0536193029,3.0080428954,92.286863271,2020
16,36033,New York,Franklin,28,57,18,46,5946.1572876,15.642068131,33.9,7.5,574.0,86.06271777,50.275313552,79.252096829,12.5,13.0,9.0543657933,48722,56.693348054,5.6150955401,7.5835603364,0.4732268904,0.0258485276,3.5889686437,81.731056012,2020
17,36035,New York,Fulton,46,58,35,54,6695.4599491,15.749096829,34.0,8.2,629.0,78.060413355,55.093143084,78.440438584,12.5,11.9,3.495187159,51388,43.570272625,1.9835420127,0.3004235786,0.6960123901,0.0391856842,3.230019966,92.485678565,2020
18,36037,New York,Genesee,45,22,58,12,7910.0310198,13.699867323,36.6,8.6,671.0,91.356184799,64.712874229,78.125573566,13.5,10.5,1.2225360638,58925,44.505560206,2.7612108988,1.1563005338,0.6607431622,0.0121715846,3.3941332962,90.358366226,2020
19,36039,New York,Greene,51,42,57,27,7900.3495829,14.278534179,27.9,8.2,455.0,87.032967033,50.311184331,78.64034005,10.1,10.3,6.0254200789,54514,43.622888659,5.5842159567,0.4548230191,1.2949822072,0.0463245668,6.0453559622,84.978206397,2020
20,36041,New York,Hamilton,12,14,27,2,,13.874728545,29.7,7.7,26.0,96.153846154,55.859969559,79.943748506,11.3,10.1,12.089693845,59020,43.537414966,0.9472259811,0.3157419937,0.7893549842,0.0902119982,1.7140279657,94.812810104,2020
21,36043,New York,Herkimer,42,48,30,52,6536.9032964,16.031260718,32.0,7.9,735.0,85.034013605,59.976317348,79.247035316,12.4,11.6,6.5700996273,53168,49.556747291,1.2097100254,0.3331554348,0.577361603,0.0307279285,2.2269661831,94.447948506,2020
22,36045,New York,Jefferson,31,49,29,35,6534.4305792,16.411002872,34.3,7.7,1235.0,85.748987854,64.824425627,78.575161926,11.7,13.2,6.3536784148,52798,52.135933273,6.2153818621,0.6550042504,1.6795669098,0.3176591651,7.7857813968,81.227685562,2020
23,36047,New York,Kings,15,53,8,42,5111.129221,18.130732021,22.6,7.5,21688.0,74.465142014,67.424015347,82.635072827,9.7,17.1,0.005267366,60862,76.374966468,29.949357875,0.9230572666,12.66091845,0.1146416915,19.075974803,36.425858458,2020
24,36049,New York,Lewis,36,44,41,30,6932.5772148,14.043344768,38.5,8.0,300.0,91.666666667,54.964362672,79.549752452,11.6,11.3,6.3010446725,52660,45.650575839,0.6503573184,0.340303248,0.434831928,0.1209967104,1.7884826256,95.787802019,2020
25,36051,New York,Livingston,23,23,21,21,6184.8486851,15.448696277,35.5,8.2,653.0,89.280245023,60.010278247,79.988364043,11.9,10.9,5.2429372297,61027,40.632082599,2.5337276796,0.3700950543,1.358596802,0.0506112895,3.6535024594,90.742878833,2020
26,36053,New York,Madison,8,18,11,8,5429.5335206,13.126796041,30.3,8.7,790.0,85.696202532,64.835164835,80.934118024,10.1,10.0,1.3112847181,59114,43.436780349,1.6583092026,0.7528780281,0.9011935871,0.0367257575,2.3363231867,93.043294018,2020
27,36055,New York,Monroe,35,25,24,47,6446.6017069,13.777389444,29.4,7.9,8449.0,82.992070067,72.601600444,79.884256234,9.4,12.4,5.7833766299,60240,49.978745818,14.626640125,0.414694656,3.7135307095,0.071382971,9.0325048419,70.276130881,2020
28,36057,New York,Montgomery,59,61,54,58,7649.0392479,17.282144099,35.1,7.8,609.0,76.026272578,59.393990547,77.675119611,11.3,11.6,7.8890155135,43799,56.789466684,2.0382165605,0.6086341118,0.9038519867,0.1314326155,14.900414518,80.50955414,2020
29,36059,New York,Nassau,1,1,3,4,4292.1835498,12.054411759,23.6,9.7,16554.0,90.769602513,75.579882735,82.882055332,8.6,5.4,0.4682879003,115301,29.672538931,11.633144206,0.5429409214,10.450453236,0.0999747486,17.231362034,59.333835416,2020
30,36061,New York,New York,6,11,1,48,3925.1677134,15.610279804,14.6,8.3,16235.0,74.536495226,84.074597814,84.857972046,6.5,12.6,0.0,84610,67.548734586,12.456736995,1.1788535772,12.817576707,0.1793453802,25.850171394,46.982963724,2020
31,36063,New York,Niagara,58,55,55,55,7692.4617485,14.243434638,33.5,8.1,2431.0,84.821061292,66.898743144,77.670410588,12.8,12.0,4.237824535,55013,46.682076814,7.0312165868,1.1329021589,1.10391431,0.053698802,3.1183322007,85.326445947,2020
